program,class_name,offset,size,field_name,data_type,pointee,confidence,evidence_id,description
wiz8,MonsterInfoDialog,0xec,0x58,member_ec,bytes,,strong,classes:wiz8:MonsterInfoDialog,embedded W8DialogMember005D14D0 with byte-exact constructor and destructor; 0x58 is its proven aligned minimum after a write through dialog offset 0x142
wiz8,W8DialogMember005DB1B0,0x0,0x4,vptr,pointer,virtual_function *,exact,classes:wiz8:W8DialogMember005DB1B0,one-slot vtable at 0x005efa98
wiz8,W8DialogMember005DB1B0,0x4,0x14,unknown_004,bytes,,exact,classes:wiz8:W8DialogMember005DB1B0,five positional dwords initialized to -1
wiz8,W8DialogMember005DB1B0,0x18,0x4,resource_018,int32,,exact,classes:wiz8:W8DialogMember005DB1B0,released by 0x0040c710 and reset to -1
wiz8,W8DialogMember005DB1B0,0x1c,0x4,resource_01c,int32,,exact,classes:wiz8:W8DialogMember005DB1B0,released by 0x0040d150 and reset to -1
wiz8,W8DialogMember005DB1B0,0x20,0x24,unknown_020,bytes,,exact,classes:wiz8:W8DialogMember005DB1B0,positional constructor-initialized storage
wiz8,W8DialogMember005DB1B0,0x44,0x4,unknown_044,int32,,exact,classes:wiz8:W8DialogMember005DB1B0,initialized from the dword at 0x0069ca28
wiz8,W8DialogMember005D14D0,0x0,0x1c,unknown_000,bytes,,exact,classes:wiz8:W8DialogMember005D14D0,positional storage preceding the two vector members
wiz8,W8DialogMember005D14D0,0x1c,0x10,vector_01c,bytes,,exact,classes:wiz8:W8DialogMember005D14D0,embedded W8DialogPtrVector005EF898 whose owned entries are removed and virtually deleted by the exact destructor
wiz8,W8DialogMember005D14D0,0x2c,0x10,vector_02c,bytes,,exact,classes:wiz8:W8DialogMember005D14D0,second embedded W8DialogPtrVector005EF898
wiz8,W8DialogMember005D14D0,0x3c,0x1c,unknown_03c,bytes,,exact,classes:wiz8:W8DialogMember005D14D0,positional fields initialized through offset 0x56
wiz8,W8DialogPtrVectorBase005EF89C,0x0,0x4,vptr,pointer,virtual_function *,exact,classes:wiz8:W8DialogPtrVectorBase005EF89C,one-slot base vtable at 0x005ef89c
wiz8,W8DialogPtrVectorBase005EF89C,0x4,0x4,count,int32,,exact,classes:wiz8:W8DialogPtrVectorBase005EF89C,used pointer slots
wiz8,W8DialogPtrVectorBase005EF89C,0x8,0x4,capacity,int32,,exact,classes:wiz8:W8DialogPtrVectorBase005EF89C,five when the twenty-byte backing allocation succeeds and zero otherwise
wiz8,W8DialogPtrVectorBase005EF89C,0xc,0x4,data,pointer,,exact,classes:wiz8:W8DialogPtrVectorBase005EF89C,pointer backing array released by the exact destructor
wiz8,W8PList,0x0,0x4,data,pointer,,exact,classes:wiz8:W8PList,pointer element array
wiz8,W8PList,0x4,0x4,capacity,int32,,exact,classes:wiz8:W8PList,allocated pointer slots
wiz8,W8PList,0x8,0x4,count,int32,,exact,classes:wiz8:W8PList,used pointer slots
wiz8,W8IList,0x0,0x4,data,pointer,,exact,classes:wiz8:W8IList,integer element array
wiz8,W8IList,0x4,0x4,capacity,int32,,exact,classes:wiz8:W8IList,allocated integer slots
wiz8,W8IList,0x8,0x4,count,int32,,exact,classes:wiz8:W8IList,used integer slots
wiz8,W8MonsterManagerEntry,0x0,0xd8,unknown_000,bytes,,exact,classes:wiz8:W8MonsterManagerEntry,opaque storage preceding the reviewed pointer-vector member
wiz8,W8MonsterManagerEntry,0xd8,0x4,vector_vptr,pointer,virtual_function *,exact,classes:wiz8:W8MonsterManagerEntry,polymorphic pointer-vector vptr restored by the exact destructor
wiz8,W8MonsterManagerEntry,0xdc,0x4,vector_count,int32,,exact,classes:wiz8:W8MonsterManagerEntry,initialized to zero by the exact constructor
wiz8,W8MonsterManagerEntry,0xe0,0x4,vector_capacity,int32,,exact,classes:wiz8:W8MonsterManagerEntry,five when the backing allocation succeeds and zero otherwise
wiz8,W8MonsterManagerEntry,0xe4,0x4,vector_data,pointer,,exact,classes:wiz8:W8MonsterManagerEntry,twenty-byte backing allocation released by the exact destructor
wiz8,W8MonsterManagerEntry,0xe8,0x30,unknown_0e8,bytes,,exact,classes:wiz8:W8MonsterManagerEntry,opaque tail completing the 0x118 array stride
wiz8,W8MonsterInfo,0x0,0x4,location_id,int32,,exact,classes:wiz8:W8MonsterInfo,compared by MonsterGetIndexByLocationID
wiz8,W8MonsterInfo,0x4,0x4,monster_group_id,int32,,exact,classes:wiz8:W8MonsterInfo,0x004e6020 passes this value to the GroupIndex lookup whose retained diagnostic names its ID parameter
wiz8,W8MonsterInfo,0x8,0x4,monster_species,int32,,exact,classes:wiz8:W8MonsterInfo,index passed to MonsterDBFromSpecies
wiz8,W8MonsterInfo,0xc,0x4,monster,pointer,Monster,exact,classes:wiz8:W8MonsterInfo,live Monster object returned by GetMonsterByLocationID
wiz8,W8MonsterInfo,0x14,0x1,flag_14,bytes,,exact,classes:wiz8:W8MonsterInfo,first live-entry gate in exact 0x004e5c00; semantics remain unresolved
wiz8,W8MonsterInfo,0x27,0x4,hp_max,int32,,exact,classes:wiz8:W8MonsterInfo,Targeting.cpp assertion pMonsterInfo->uiHPMax > 0 reads this exact offset; initialized from a database dice roll by 0x004e3930
wiz8,W8MonsterInfo,0x2b,0x4,hp_current,int32,,exact,classes:wiz8:W8MonsterInfo,initialized with hp_max by 0x004e3930 then reduced by canonical damage consumers before 0x004e5a50 updates the Monster appearance
wiz8,W8MonsterInfo,0x2f,0x4,runtime_stat_max_2f,int32,,exact,classes:wiz8:W8MonsterInfo,byte-exact InitializeMonsterRuntimeStats rolls database dice +0xda into this maximum value
wiz8,W8MonsterInfo,0x33,0x4,runtime_stat_current_33,int32,,exact,classes:wiz8:W8MonsterInfo,byte-exact InitializeMonsterRuntimeStats copies runtime_stat_max_2f here as the current value
wiz8,W8ScreenRect,0x0,0x4,left,int32,,exact,classes:wiz8:W8ScreenRect,minimum horizontal bound consumed by 0x00517e20 and 0x00517e70
wiz8,W8ScreenRect,0x4,0x4,top,int32,,exact,classes:wiz8:W8ScreenRect,minimum vertical bound consumed by 0x00517e20 and 0x00517e70
wiz8,W8ScreenRect,0x8,0x4,right,int32,,exact,classes:wiz8:W8ScreenRect,exclusive maximum horizontal bound consumed by 0x00517e20 and 0x00517e70
wiz8,W8ScreenRect,0xc,0x4,bottom,int32,,exact,classes:wiz8:W8ScreenRect,exclusive maximum vertical bound consumed by 0x00517e20 and 0x00517e70
wiz8,W8ScreenPoint,0x0,0x4,x,int32,,exact,classes:wiz8:W8ScreenPoint,signed horizontal coordinate consumed by 0x00517e70
wiz8,W8ScreenPoint,0x4,0x4,y,int32,,exact,classes:wiz8:W8ScreenPoint,signed vertical coordinate consumed by 0x00517e70
wiz8,W8RegionSet,0x0,0x4,enabled,int32,,exact,classes:wiz8:W8RegionSet,0x004f21e0 stores one and 0x004f2220 stores zero
wiz8,W8Region,0x0,0x4,flags,int32,,exact,classes:wiz8:W8Region,0x004f2380 0x004f23d0 and 0x004f2550 update or test this bitfield
wiz8,W8RegionSet,0x4,0x4,first_region,uint32,,exact,classes:wiz8:W8RegionSet,0x004f2260 and 0x004f22f0 use this as the inclusive range start
wiz8,W8RegionSet,0x8,0x4,last_region,uint32,,exact,classes:wiz8:W8RegionSet,0x004f2260 and 0x004f22f0 use this as the inclusive range end
wiz8,W8Region,0x4,0x2,x1,int16,,exact,classes:wiz8:W8Region,0x004f2420 stores it and 0x004f2490 uses it as left edge or circle center X
wiz8,W8Region,0x6,0x2,y1,int16,,exact,classes:wiz8:W8Region,0x004f2420 stores it and 0x004f2490 uses it as top edge or circle center Y
wiz8,W8Region,0x8,0x2,x2,int16,,exact,classes:wiz8:W8Region,0x004f2420 stores it and 0x004f2490 uses it as right edge or circle radius
wiz8,W8Region,0xa,0x2,y2,int16,,exact,classes:wiz8:W8Region,0x004f2420 stores it and 0x004f2490 uses it as bottom edge in rectangular mode
wiz8,W8Region,0xc,0x4,callback,pointer,,exact,classes:wiz8:W8Region,0x004f29c0 stores code addresses and reviewed callers pass local callback entry points
wiz8,W8Region,0x10,0x2,callback_id,uint16,,exact,classes:wiz8:W8Region,0x004f29c0 stores the caller-supplied 16-bit callback identifier
wiz8,W8Region,0x12,0x1,help_enabled,bytes,,exact,classes:wiz8:W8Region,0x004f2a30 stores it and 0x004f25a0 gates timed help processing on it
wiz8,W8Region,0x14,0x4,help_text_id,int32,,exact,classes:wiz8:W8Region,0x004f2a30 stores it and 0x004f2650 resolves it through the help-text table
wiz8,W8Region,0x18,0x4,owner,pointer,,exact,classes:wiz8:W8Region,0x004f2a10 stores the owning object supplied by the reviewed control constructors
wiz8,W8MonsterInfo,0x9f,0x4,value_9f,int32,,exact,classes:wiz8:W8MonsterInfo,required to be zero by exact 0x004e5c00; semantics remain unresolved
wiz8,W8MonsterInfo,0x1e7,0x7,attribute_adjustments_1e7,bytes,,exact,classes:wiz8:W8MonsterInfo,0x004e5d00 reads the selected byte as signed before adding it to the unsigned database attribute
wiz8,W8MonsterInfo,0x242,0x4,runtime_value_242,int32,,exact,classes:wiz8:W8MonsterInfo,byte-exact InitializeMonsterRuntimeStats clears this value for entries in both monster lists
wiz8,W8MonsterInfo,0x247,0x5,converted_attributes_247,bytes,,exact,classes:wiz8:W8MonsterInfo,0x004e5d00 stores the five converted attributes after clamping each result to 1 through 125
wiz8,W8MonsterInfo,0x24d,0x1,flag_24d,uint8,,exact,classes:wiz8:W8MonsterInfo,byte-exact InitializeMonsterRuntimeStats clears this byte for entries in both monster lists
wiz8,W8MonsterInfo,0x24e,0x1,motionless,uint8,,exact,classes:wiz8:W8MonsterInfo,The official demo's mapped setter retains MonsterInfoSetMotionless diagnostics; condition callers set it for web-or-worse states and clear it below that threshold
wiz8,W8MonsterInfo,0x24f,0x4,scale_24f,float,,exact,classes:wiz8:W8MonsterInfo,byte-exact InitializeMonsterRuntimeStats stores CalculateMonsterScale here before applying it to the live Monster
wiz8,W8MonsterInfo,0x253,0x1,flag_253,bytes,,exact,classes:wiz8:W8MonsterInfo,set after the notification step by exact 0x004e5c00; semantics remain unresolved
wiz8,W8MonsterInfo,0x255,0x1,flag_255,bytes,,exact,classes:wiz8:W8MonsterInfo,reset by exact consumers 0x004e5ea0 and 0x004e6020
wiz8,W8MonsterInfo,0x2da,0x4,value_2da,int32,,exact,classes:wiz8:W8MonsterInfo,required to be nonzero by exact 0x004e5c00; semantics remain unresolved
wiz8,W8MonsterInfo,0x2f1,0x4,runtime_value_2f1,int32,,exact,classes:wiz8:W8MonsterInfo,byte-exact InitializeMonsterRuntimeStats clears this value for entries in both monster lists
wiz8,W8MonsterInfo,0x2fd,0x4,control_state,int32,,exact,classes:wiz8:W8MonsterInfo,tested and replaced by exact SetMonsterControlState then consumed by the selected MonsterGroup recomputation
wiz8,W8MonsterManagerState,0x0,0x8c0,entries,bytes,,exact,classes:wiz8:W8MonsterManagerState,eight W8MonsterManagerEntry values with the constructor iterator's 0x118 stride
wiz8,W8MonsterManagerState,0x8c0,0xf7,unknown_8c0,bytes,,exact,classes:wiz8:W8MonsterManagerState,opaque storage before the unaligned pointer-vector member
wiz8,W8MonsterManagerState,0x9b7,0x4,vector_vptr,pointer,virtual_function *,exact,classes:wiz8:W8MonsterManagerState,polymorphic pointer-vector vptr restored by the exact destructor
wiz8,W8MonsterManagerState,0x9bb,0x4,vector_count,int32,,exact,classes:wiz8:W8MonsterManagerState,initialized to zero by the exact constructor
wiz8,W8MonsterManagerState,0x9bf,0x4,vector_capacity,int32,,exact,classes:wiz8:W8MonsterManagerState,five when the backing allocation succeeds and zero otherwise
wiz8,W8MonsterManagerState,0x9c3,0x4,vector_data,pointer,,exact,classes:wiz8:W8MonsterManagerState,twenty-byte backing allocation released by the exact destructor
wiz8,W8GrowableVector<int>,0x0,0x4,vptr,pointer,virtual_function *,strong,classes:wiz8:W8GrowableVector<int>,one-slot vtable at 0x005ec0e0 for this template instantiation
wiz8,W8GrowableVector<int>,0x4,0x4,count,int32,,exact,classes:wiz8:W8GrowableVector<int>,used candidate-index slots read and copied by the exact grower
wiz8,W8GrowableVector<int>,0x8,0x4,capacity,int32,,exact,classes:wiz8:W8GrowableVector<int>,compared against the requested minimum by the exact grower
wiz8,W8GrowableVector<int>,0xc,0x4,data,pointer,,exact,classes:wiz8:W8GrowableVector<int>,four-byte candidate-index backing array replaced by the exact grower
wiz8,W8GrowableVector<W8WorldItem *>,0x0,0x4,vptr,pointer,virtual_function *,strong,classes:wiz8:W8GrowableVector<W8WorldItem *>,leading virtual-table pointer inherited from the shared polymorphic template model
wiz8,W8GrowableVector<W8WorldItem *>,0x4,0x4,count,int32,,strong,classes:wiz8:W8GrowableVector<W8WorldItem *>,read incremented and returned by GenerateItemsFromTable
wiz8,W8GrowableVector<W8WorldItem *>,0x8,0x4,capacity,int32,,strong,classes:wiz8:W8GrowableVector<W8WorldItem *>,compared before the inlined output Add grows its storage
wiz8,W8GrowableVector<W8WorldItem *>,0xc,0x4,data,pointer,W8WorldItem *,strong,classes:wiz8:W8GrowableVector<W8WorldItem *>,W8WorldItem pointer slots written by the inlined output Add
wiz8,W8WorldItem,0x0,0x4,runtime_id,int32,,exact,classes:wiz8:W8WorldItem,assigned from the world item id counter
wiz8,W8WorldItem,0x4,0x4,unknown_04,pointer,,exact,classes:wiz8:W8WorldItem,not established
wiz8,W8WorldItem,0x8,0x1,unknown_08,bytes,,exact,classes:wiz8:W8WorldItem,not established
wiz8,W8WorldItem,0x9,0xc,item,bytes,,exact,classes:wiz8:W8WorldItem,W8ItemInstance payload
wiz8,W8WorldItem,0x15,0xc,position,bytes,,exact,classes:wiz8:W8WorldItem,srVector3T<float>
wiz8,W8WorldItem,0x21,0x4,unknown_21,bytes,,exact,classes:wiz8:W8WorldItem,not established
wiz8,W8WorldItem,0x25,0x4,unknown_25,int32,,exact,classes:wiz8:W8WorldItem,level-restore flag word; bit 3 cleared while restoring
wiz8,W8WorldItem,0x29,0x4,flags,int32,,exact,classes:wiz8:W8WorldItem,tested by mask by 0x004F8130
wiz8,W8WorldItem,0x2d,0x4,saved_marker,int32,,exact,classes:wiz8:W8WorldItem,set to 1 before each record is written
wiz8,W8WorldItem,0x31,0x4,next,pointer,W8WorldItem,exact,classes:wiz8:W8WorldItem,"chain link, walked and rebuilt by the serializers"
wiz8,W8WorldItem,0x35,0x4,unknown_35,int32,,exact,classes:wiz8:W8WorldItem,not established
wiz8,W8WorldItem,0x39,0x4,sector_id,int32,,exact,classes:wiz8:W8WorldItem,not established
wiz8,W8WorldItem,0x3d,0x70,unknown_3d,bytes,,exact,classes:wiz8:W8WorldItem,not established
wiz8,W8MonsterGroup,0x0,0x4,group_id,int32,,exact,classes:wiz8:W8MonsterGroup,GetMonsterGroupIndexByID compares this field with the requested ID in both group lists
wiz8,W8MonsterGroup,0x4,0x4,member_count,int32,,strong,classes:wiz8:W8MonsterGroup,RemoveMonster decrements this count after removing the location ID from the group member list
wiz8,W8MonsterGroup,0x8,0x4,monsters,pointer,,exact,classes:wiz8:W8MonsterGroup,group member location IDs are enumerated through the reviewed IList API
wiz8,W8MonsterGroup,0x14,0x4,active_member_count,int32,,strong,classes:wiz8:W8MonsterGroup,RecountActiveMonsterGroupMembers replaces this value when the condition and control-state filtered count changes
wiz8,W8MonsterGroup,0x18,0x4,monster_id,int32,,strong,classes:wiz8:W8MonsterGroup,FindFirstMonsterByID and FindNextExistingMonsterByID compare this field with the requested monster ID
wiz8,W8World,0x8,0x4,plsProps,pointer,W8PList,exact,classes:wiz8:W8World,named and typed by the 3d.cpp:344 assertion and byte-proven at 0x08 by WorldUpdateProps
wiz8,W8World,0x48,0x4,psrMeshes,pointer,,strong,classes:wiz8:W8World,named by the 3dapi.cpp:446 assertion; placed by the asserting body but unproven while no ported consumer exists
wiz8,W8World,0xc4,0x4,monster_generators,pointer,,strong,classes:wiz8:W8World,growable vector of W8MonsterGenerator pointers read by the structurally-strong FindMonGenByName
wiz8,W8TargetSource,0x0,0x4,iType,int32,,exact,classes:wiz8:W8TargetSource,1 character 2 monster 3 either; proven by TargetSourceIsCharacter and TargetSourceIsMonster
wiz8,W8TargetSource,0x4,0x4,iChar,int32,,exact,classes:wiz8:W8TargetSource,compared against BAD_INDEX -1 by the byte-proven pair
wiz8,W8TargetSource,0x8,0x4,iMonsterID,int32,,exact,classes:wiz8:W8TargetSource,compared against BAD_INDEX -1 by the byte-proven pair
wiz8,W8TargetSource,0x1b,0x1,fReflection,uint8,,exact,classes:wiz8:W8TargetSource,short-circuit || test order proves this flag sits below fBackfire
wiz8,W8TargetSource,0x1c,0x1,fBackfire,uint8,,exact,classes:wiz8:W8TargetSource,"tested first in the emitted bodies, which is what assigns the 0x1c offset"
wiz8,W8Dialog005A80A0,0x0,0x4,vptr,pointer,virtual_function *,strong,classes:wiz8:W8Dialog005A80A0,primary vtable W8Dialog005A80A0.primary
wiz8,W8Dialog005A80A0,0x4,0x94,base_storage,bytes,,strong,classes:wiz8:W8Dialog005A80A0,unnamed base constructed by 0x005d25b0 and destroyed by 0x005d2610; total base size 0x98
wiz8,W8Dialog005A80A0,0x98,0x4,notify_value_98,int32,,exact,classes:wiz8:W8Dialog005A80A0,fourth constructor argument retained here and passed to the notify target by slot 9
wiz8,W8Dialog005A80A0,0x9c,0x4,notify_target,pointer,,exact,classes:wiz8:W8Dialog005A80A0,cleared by the constructor; slot 9 calls through this object's own first vtable slot when the dialog closes
wiz8,W8DialogBase005D25B0,0x0,0x4,vptr,pointer,virtual_function *,strong,classes:wiz8:W8DialogBase005D25B0,primary vtable W8DialogBase005D25B0.primary
wiz8,W8DialogBase005D25B0,0x4,0x50,base_storage,bytes,,strong,classes:wiz8:W8DialogBase005D25B0,W8DialogBase005DC7A0 subobject constructed by 0x005dc7a0 and destroyed by 0x005dc860
wiz8,W8DialogBase005D25B0,0x54,0x1,flag_54,uint8,,exact,classes:wiz8:W8DialogBase005D25B0,cleared by the constructor; a derived close passes it to its notify target
wiz8,W8DialogBase005D25B0,0x55,0x1,flag_55,uint8,,exact,classes:wiz8:W8DialogBase005D25B0,set to one by the constructor and gates the derived close path
wiz8,W8DialogBase005D25B0,0x56,0x2,value_56,int16,,exact,classes:wiz8:W8DialogBase005D25B0,initialized to -1
wiz8,W8DialogBase005D25B0,0x58,0x4,value_58,int32,,exact,classes:wiz8:W8DialogBase005D25B0,initialized to -1
wiz8,W8DialogBase005D25B0,0x5c,0x4,value_5c,int32,,exact,classes:wiz8:W8DialogBase005D25B0,initialized to -1
wiz8,W8DialogBase005D25B0,0x60,0x4,value_60,int32,,exact,classes:wiz8:W8DialogBase005D25B0,initialized to -1
wiz8,W8DialogBase005D25B0,0x64,0x10,unknown_064,bytes,,strong,classes:wiz8:W8DialogBase005D25B0,not established
wiz8,W8DialogBase005D25B0,0x74,0x4,value_74,int32,,exact,classes:wiz8:W8DialogBase005D25B0,initialized to -1
wiz8,W8DialogBase005D25B0,0x78,0x4,value_78,int32,,exact,classes:wiz8:W8DialogBase005D25B0,initialized to -1
wiz8,W8DialogBase005D25B0,0x7c,0x10,unknown_07c,bytes,,strong,classes:wiz8:W8DialogBase005D25B0,not established
wiz8,W8DialogBase005D25B0,0x8c,0x4,value_8c,int32,,exact,classes:wiz8:W8DialogBase005D25B0,cleared by the constructor
wiz8,W8DialogBase005D25B0,0x90,0x4,value_90,int32,,exact,classes:wiz8:W8DialogBase005D25B0,cleared by the constructor
wiz8,W8DialogBase005D25B0,0x94,0x4,unknown_094,bytes,,strong,classes:wiz8:W8DialogBase005D25B0,not established
wiz8,W8StatInfoDialog005DFC70,0x0,0x4,vptr,pointer,virtual_function *,strong,classes:wiz8:W8StatInfoDialog005DFC70,primary vtable W8StatInfoDialog005DFC70.primary
wiz8,W8StatInfoDialog005DFC70,0x4,0x13c,base_storage,bytes,,strong,classes:wiz8:W8StatInfoDialog005DFC70,W8StatInfoDialogBase005DF880 subobject constructed by 0x005df880
wiz8,W8StatInfoDialog005DFC70,0x140,0x4,value_140,uint32,,exact,classes:wiz8:W8StatInfoDialog005DFC70,widened from the 16-bit per-attribute table at 0x61e3a4
wiz8,W8StatInfoDialog005DFC70,0x144,0x4,value_144,uint32,,exact,classes:wiz8:W8StatInfoDialog005DFC70,widened from the 16-bit per-attribute table at 0x61e4fc
wiz8,W8StatInfoDialog005DFC70,0x148,0x4,uiIndex,uint32,,exact,classes:wiz8:W8StatInfoDialog005DFC70,attribute index named by the class's own assertion and bounded by ATTR_COUNT
wiz8,W8StatInfoDialog005E0180,0x0,0x4,vptr,pointer,virtual_function *,strong,classes:wiz8:W8StatInfoDialog005E0180,primary vtable W8StatInfoDialog005E0180.primary
wiz8,W8StatInfoDialog005E0180,0x4,0x13c,base_storage,bytes,,strong,classes:wiz8:W8StatInfoDialog005E0180,W8StatInfoDialogBase005DF880 subobject constructed by 0x005df880
wiz8,W8StatInfoDialog005E0180,0x140,0x4,value_140,uint32,,exact,classes:wiz8:W8StatInfoDialog005E0180,widened from the 16-bit per-attribute table at 0x61e3c4
wiz8,W8StatInfoDialog005E0180,0x144,0x4,value_144,uint32,,exact,classes:wiz8:W8StatInfoDialog005E0180,widened from the 16-bit per-attribute table at 0x61e50c
wiz8,W8StatInfoDialog005E0180,0x148,0x4,uiIndex,uint32,,exact,classes:wiz8:W8StatInfoDialog005E0180,attribute index named by the class's own assertion and bounded by ATTR_COUNT
wiz8,W8Object0043A910,0x0,0x4,vptr,pointer,virtual_function *,strong,classes:wiz8:W8Object0043A910,primary vtable W8Object0043A910.primary
wiz8,W8Object0043A910,0x4,0x10,base_storage,bytes,,strong,classes:wiz8:W8Object0043A910,W8ObjectBase00439550 subobject constructed by 0x00439550
wiz8,W8Object0043A910,0x14,0x4,ticks_14,int32,,exact,classes:wiz8:W8Object0043A910,"the scaled rate, stored identically to ticks_18"
wiz8,W8Object0043A910,0x18,0x4,ticks_18,int32,,exact,classes:wiz8:W8Object0043A910,rate_1c multiplied by ten thousand and truncated through ftol
wiz8,W8Object0043A910,0x1c,0x4,rate_1c,float,,exact,classes:wiz8:W8Object0043A910,"copied from the global at 0x006068ec, 0.1 in the shipped image"
wiz8,W8Object0043A910,0x20,0x4,scale_20,float,,exact,classes:wiz8:W8Object0043A910,initialized to one
wiz8,W8Object0043A910,0x24,0x4,scale_24,float,,exact,classes:wiz8:W8Object0043A910,initialized to two
wiz8,W8Object0043A910,0x28,0x4,value_28,int32,,exact,classes:wiz8:W8Object0043A910,cleared by the constructor
wiz8,W8Object0043A910,0x2c,0x4,value_2c,int32,,exact,classes:wiz8:W8Object0043A910,cleared by the constructor
wiz8,W8Object0043A910,0x30,0x4,value_30,int32,,exact,classes:wiz8:W8Object0043A910,cleared by the constructor
wiz8,W8WidgetBase005ED5BC,0x0,0x4,vptr,pointer,virtual_function *,strong,classes:wiz8:W8WidgetBase005ED5BC,primary vtable W8WidgetBase005ED5BC.primary
wiz8,W8WidgetBase005ED5BC,0x5,0x1,flag_5,uint8,,exact,classes:wiz8:W8WidgetBase005ED5BC,cleared by the folded destructor
wiz8,W8WidgetBase005ED5BC,0x18,0x4,region_18,int32,,exact,classes:wiz8:W8WidgetBase005ED5BC,region registration released through 0x004f23d0 on teardown unless it holds the -1 sentinel
wiz8,W8Control005ED654,0x0,0x4,vptr,pointer,virtual_function *,strong,classes:wiz8:W8Control005ED654,primary vtable W8Control005ED654.primary
wiz8,W8Control005ED654,0x4,0x4,base_value_4,int32,,exact,classes:wiz8:W8Control005ED654,cleared by the inlined base construction
