address,symbol,source_path,attribution,interval_lower,interval_upper,bounds,evidence
004f30f0,Controls::EnableRegionSet,Local Code\Controls.cpp,direct,004f30f0,004f54b0,inclusive,the function itself contains an assertion naming this source path
004f6b90,CreateWorldItem,,gap,004f54b0,004f6c50,exclusive,outside every assertion-bounded interval; between Local Code\Controls.cpp and Local Code\ItemManager.cpp
004f6c50,SpawnItem,Local Code\ItemManager.cpp,direct,004f6c50,004f8cb0,inclusive,the function itself contains an assertion naming this source path
004ff3b0,GetProfessionCasterLevel,Local Code\Magic.cpp,direct,004f9aa0,00501910,inclusive,the function itself contains an assertion naming this source path
005061a0,SetFact,,gap,00505a40,00506670,exclusive,outside every assertion-bounded interval; between Local Code\Sight.cpp and Local Code\NPC Scripting Facts.cpp
00506280,GetFact,,gap,00505a40,00506670,exclusive,outside every assertion-bounded interval; between Local Code\Sight.cpp and Local Code\NPC Scripting Facts.cpp
0050b830,GetNPCItemListByID,Local Code\NPC Manager.cpp,inferred,00509cd0,0050d480,inclusive,function start lies inside this unit's assertion-bounded interval
00510b60,FindFirstMonsterByID,Local Code\MonsterGroup.cpp,inferred,005100b0,00511990,inclusive,function start lies inside this unit's assertion-bounded interval
00510bf0,FindNextExistingMonsterByID,Local Code\MonsterGroup.cpp,inferred,005100b0,00511990,inclusive,function start lies inside this unit's assertion-bounded interval
00517970,RollDice,,gap,00516f00,00517bd0,exclusive,outside every assertion-bounded interval; between Local Code\search.cpp and Local Code\UtilityFunctions.cpp
005179b0,IntegerPower,,gap,00516f00,00517bd0,exclusive,outside every assertion-bounded interval; between Local Code\search.cpp and Local Code\UtilityFunctions.cpp
005179d0,ClampInteger,,gap,00516f00,00517bd0,exclusive,outside every assertion-bounded interval; between Local Code\search.cpp and Local Code\UtilityFunctions.cpp
00517ea0,StripMonsterNameSuffix,Local Code\UtilityFunctions.cpp,inferred,00517bd0,00518310,inclusive,function start lies inside this unit's assertion-bounded interval
00517ec0,CharacterPointerToPartySlot,Local Code\UtilityFunctions.cpp,inferred,00517bd0,00518310,inclusive,function start lies inside this unit's assertion-bounded interval
00518150,GetRandomCharacter,Local Code\UtilityFunctions.cpp,inferred,00517bd0,00518310,inclusive,function start lies inside this unit's assertion-bounded interval
0051b9e0,GetItemInHand,,gap,0051b320,0051ba00,exclusive,outside every assertion-bounded interval; between Local Code\Combat Range.cpp and Local Code\PC Item.cpp
005222d0,GetOriginOfCharacterItem,Local Code\PC Item.cpp,direct,0051ba00,005222d0,inclusive,the function itself contains an assertion naming this source path
00528a80,AddLinesToMessageBox,,gap,00526e90,0052a890,exclusive,outside every assertion-bounded interval; between Local Code\NPC Scripting.cpp and Local Code\Health Stamina Mana.cpp
00535ad0,GetFactionDisposition,,gap,005355d0,00536170,exclusive,outside every assertion-bounded interval; between Local Code\MonsterAI.cpp and Local Code\Targeting.cpp
0053bea0,TargetSourceIsCharacter,Local Code\Targeting.cpp,direct,00536170,0053d010,inclusive,the function itself contains an assertion naming this source path
0053bf10,TargetSourceIsMonster,Local Code\Targeting.cpp,direct,00536170,0053d010,inclusive,the function itself contains an assertion naming this source path
0055ca20,Chunk::Read,Local Code\chunk.cpp,direct,0055c000,0055cb60,inclusive,the function itself contains an assertion naming this source path
0055ca80,Chunk::Write,Local Code\chunk.cpp,direct,0055c000,0055cb60,inclusive,the function itself contains an assertion naming this source path
005d6e60,MonsterInfoDialog::ClearField41IfEnabled,,gap,005d3370,005d7310,exclusive,outside every assertion-bounded interval; between Dialog Code\stMessageDialog.cpp and Dialog Code\AssayDialog.cpp
005dbde0,MonsterInfoDialog::ResetSubobjectAndRefresh,,gap,005db620,005dbee0,exclusive,outside every assertion-bounded interval; between Dialog Code\stButton.cpp and Dialog Code\SpellInfoDialog.cpp
